Age (years),Probability of dying between ages x and x + 1,,,,,,,,,
0,0.003997,,,,,,,,,
1,0.000264,,,,,,,,,
2,0.000156,,,,,,,,,
3,0.000119,,,,,,,,,
4,0.000110,,,,,,,,,
5,0.000092,,,,,,,,,
6,0.000083,,,,,,,,,
7,0.000077,,,,,,,,,
8,0.000074,,,,,,,,,
9,0.000074,,,,,,,,,
10,0.000077,,,,,,,,,
11,0.000086,,,,,,,,,
12,0.000104,,,,,,,,,
13,0.000131,,,,,,,,,
14,0.000166,,,,,,,,,
15,0.000205,,,,,,,,,
16,0.000245,,,,,,,,,
17,0.000284,,,,,,,,,
18,0.000321,,,,,,,,,
19,0.000356,,,,,,,,,
20,0.000394,,,,,,,,,
21,0.000435,,,,,,,,,
22,0.000478,,,,,,,,,
23,0.000523,,,,,,,,,
24,0.000568,,,,,,,,,
25,0.000613,,,,,,,,,
26,0.000658,,,,,,,,,
27,0.000706,,,,,,,,,
28,0.000761,,,,,,,,,
29,0.000822,,,,,,,,,
30,0.000887,,,,,,,,,
31,0.000952,,,,,,,,,
32,0.001017,,,,,,,,,
33,0.001080,,,,,,,,,
34,0.001141,,,,,,,,,
35,0.001208,,,,,,,,,
36,0.001279,,,,,,,,,
37,0.001341,,,,,,,,,
38,0.001392,,,,,,,,,
39,0.001440,,,,,,,,,
40,0.001497,,,,,,,,,
41,0.001574,,,,,,,,,
42,0.001675,,,,,,,,,
43,0.001801,,,,,,,,,
44,0.001947,,,,,,,,,
45,0.002111,,,,,,,,,
46,0.002288,,,,,,,,,
47,0.002470,,,,,,,,,
48,0.002657,,,,,,,,,
49,0.002861,,,,,,,,,
50,0.003078,,,,,,,,,
51,0.003327,,,,,,,,,
52,0.003631,,,,,,,,,
53,0.003989,,,,,,,,,
54,0.004376,,,,,,,,,
55,0.004756,,,,,,,,,
56,0.005131,,,,,,,,,
57,0.005526,,,,,,,,,
58,0.005959,,,,,,,,,
59,0.006431,,,,,,,,,
60,0.006958,,,,,,,,,
61,0.007503,,,,,,,,,
62,0.008028,,,,,,,,,
63,0.008515,,,,,,,,,
64,0.009000,,,,,,,,,
65,0.009509,,,,,,,,,
66,0.010155,,,,,,,,,
67,0.010955,,,,,,,,,
68,0.011998,,,,,,,,,
69,0.013235,,,,,,,,,
70,0.014612,,,,,,,,,
71,0.016161,,,,,,,,,
72,0.017615,,,,,,,,,
73,0.019745,,,,,,,,,
74,0.021549,,,,,,,,,
75,0.023981,,,,,,,,,
76,0.026395,,,,,,,,,
77,0.029588,,,,,,,,,
78,0.032907,,,,,,,,,
79,0.036769,,,,,,,,,
80,0.040821,,,,,,,,,
81,0.045462,,,,,,,,,
82,0.051481,,,,,,,,,
83,0.058132,,,,,,,,,
84,0.064535,,,,,,,,,
85,0.073060,,,,,,,,,
86,0.081385,,,,,,,,,
87,0.091872,,,,,,,,,
88,0.103470,,,,,,,,,
89,0.116237,,,,,,,,,
90,0.130215,,,,,,,,,
91,0.145429,,,,,,,,,
92,0.161885,,,,,,,,,
93,0.179561,,,,,,,,,
94,0.198409,,,,,,,,,
95,0.218348,,,,,,,,,
96,0.239267,,,,,,,,,
97,0.261023,,,,,,,,,
98,0.283446,,,,,,,,,
99,0.306341,,,,,,,,,
100,1.000000,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
